,EDA_Raw,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime
90,0.396811,0.3952260455410553,0.0015840746799435585,0,1,0,0,0,0,0
91,0.394252,0.3951806285133453,-0.0009295489094462263,1,0,0,0,0,0,0
92,0.394252,0.39513384346768027,-0.0008828032445304183,0,0,0,0,0,0,0
93,0.396811,0.3950857879257055,0.0017242145553430746,0,1,0,0,0,0,0
94,0.394252,0.3950365563007887,-0.0007855894843322965,1,0,0,0,0,0,0
95,0.396811,0.3949862539249267,0.0018236797813023606,0,1,0,0,0,0,0
96,0.395531,0.3949350080699918,0.0005948955965754541,1,0,0,0,0,0,0
97,0.395531,0.39488297595670907,0.0006469012975606733,0,0,0,0,0,0,0
98,0.395531,0.39483034669844663,0.0006995083694211028,0,0,0,0,0,0,0
99,0.396811,0.39477734022884864,0.0020324975197721514,0,1,0,0,0,0,0
100,0.395531,0.39472421540491576,0.0008056105764345905,0,0,0,0,0,0,0
101,0.395531,0.39467127812372627,0.0008585423713610036,0,0,0,0,0,1,0
102,0.392973,0.3946188711457717,-0.001647049082265184,1,0,0,0,0,0,0
103,0.394252,0.3945673456205866,-0.00031651411546525666,0,0,0,0,0,0,0
104,0.394252,0.3945170356446763,-0.0002661859614682423,0,0,0,0,0,0,0
105,0.394252,0.39446825412392494,-0.00021737661849546884,0,1,0,0,0,0,0
106,0.389135,0.3944212885876774,-0.005287372664552486,1,0,0,0,0,0,0
107,0.394252,0.3943763695090564,-0.00012540357882582498,0,1,0,0,0,0,0
108,0.390415,0.3943336385595105,-0.00391960999771397,1,0,0,0,0,0,0
109,0.394252,0.3942931472756723,-4.204238361274818e-05,0,0,0,0,0,0,0
110,0.394252,0.39425487698226963,-3.680950234502783e-06,0,0,0,0,0,0,0
111,0.394252,0.39421877081785894,3.2532308726717306e-05,0,0,0,0,0,0,0
112,0.394252,0.39418476262630886,6.666472461475136e-05,0,1,0,0,1,0,0
113,0.392973,0.3941527844305649,-0.0011802145240591248,0,0,0,0,0,0,0
114,0.391694,0.3941227524910753,-0.002429020474801671,1,0,0,0,0,0,0
115,0.395531,0.39409454719129344,0.0014363677279018627,0,1,0,0,0,0,0
116,0.394252,0.3940680172329477,0.0001841026311119971,1,0,0,0,0,0,0
